apellido,municipio
SANTIAGO,SABANA GRANDE
VAZQUEZ,SABANA GRANDE
TORRES,PONCE
VIDAL,PEÑUELAS
LUGO,PEÑUELAS
BELEN,YAUCO
LOPEZ,LAJAS
BONILLA,HORMIGUEROS
VAZQUEZ,SABANA GRANDE
BONILLA,COAMO
BENNETT,JAYUYA
SANTIAGO,PEÑUELAS
VEGA,PEÑUELAS
MUÑIZ,PEÑUELAS
CAMACHO,CABO ROJO
ACOSTA,LAJAS
GUZMAN,LARES
TORRES,PEÑUELAS
GONZALEZ,LARES
MEDINA,UTUADO
GALARZA,PEÑUELAS
RODRIGUEZ,SABANA GRANDE
ALMODOVAR,GUANICA
SEPULVEDA,GUANICA
FLORES,LAJAS
GARCIAS,PEÑUELAS
MUÑIZ,PONCE
PEREZ,PONCE
TIRU,PONCE
TORO,PONCE
SANTANA,SABANA GRANDE
GARCIA,SABANA GRANDE
PADUA,PONCE
MARTINEZ,PONCE
VELEZ,PONCE
CARABALLO,PONCE
PACHECO,GUAYANILLA
SANCHEZ,GUAYANILLA
HERNANDEZ,PEÑUELAS
